date,asin,ads_date_ref,tsales_date_ref,impressions,clicks,ad_spend,units_sold,ad_sales,shippedunits,shippedrevenueamount,Item Name,Collection,Category,Size,Inch,orderedunits,orderedrevenueamount
04-09-2024,B0BNL3L7LR,,2024-09-04,0,0,0,0,0,1,70,"NapQueen 3'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,3 Inch,0,0
05-09-2024,B0BSLVXHYJ,,2024-09-05,0,0,0,0,0,1,143,"NapQueen Alpha Bed Frame, Queen",Alpha,Bed Frame,Queen,14 Inch,0,0
31-08-2024,B0BDRWGMJY,,2024-08-31,0,0,0,0,0,1,84,"NapQueen 5"" Rainbow White Mattress for Kids, Twin",Kids Mattress,Mattress,Twin,5 Inch,0,0
30-08-2024,B0CY5LR4VX,,2024-08-30,0,0,0,0,0,1,325,NapQueen 14'' Isabella Hybrid Pillow Top Full Mattress,Isabella Pillow Top,Mattress,Full,14 Inch,0,0
15-08-2024,B09KDTHJ6V,,2024-08-15,0,0,0,0,0,1,188,"NapQueen Elizabeth 12"" Gel Memory Foam Mattress, Twin",Elizabeth,Mattress,Twin,12 Inch,0,0
22-08-2024,B0BGDXM13S,,2024-08-22,0,0,0,0,0,1,229,"NapQueen 8"" Maxima Hybrid Mattress, King, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,King,8 Inch,0,0
21-08-2024,B0BRDCJWJC,,2024-08-21,0,0,0,0,0,1,218,"NapQueen 10"" Maxima Hybrid Mattress, Queen, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Queen,10 Inch,0,0
09-09-2024,B0BNL5LCM5,,2024-09-09,0,0,0,0,0,1,63,"NapQueen 3"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, Full",Bamboo Charcoal Topper,Mattress Topper,Full,3 Inch,0,0
23-08-2024,B09KDLQ2GW,,2024-08-23,0,0,0,0,0,1,289,"NapQueen Elizabeth 12"" Gel Memory Foam Mattress, Queen",Elizabeth,Mattress,Queen,12 Inch,0,0
26-08-2024,B0CY5LR4VX,,2024-08-26,0,0,0,0,0,1,325,NapQueen 14'' Isabella Hybrid Pillow Top Full Mattress,Isabella Pillow Top,Mattress,Full,14 Inch,0,0
18-08-2024,B0BSLVXHYJ,,2024-08-18,0,0,0,0,0,1,138,"NapQueen Alpha Bed Frame, Queen",Alpha,Bed Frame,Queen,14 Inch,0,0
25-08-2024,B0BNL5LCM5,,2024-08-25,0,0,0,0,0,1,63,"NapQueen 3"" Ventilated Bamboo Charcoal Memory Foam Mattress Topper, Full",Bamboo Charcoal Topper,Mattress Topper,Full,3 Inch,0,0
15-08-2024,B09KDQ2BWY,,2024-08-15,0,0,0,0,0,1,239,"NapQueen Elizabeth 12"" Gel Memory Foam Mattress, Full",Elizabeth,Mattress,Full,12 Inch,0,0
23-08-2024,B0BNKZCWFL,,2024-08-23,0,0,0,0,0,1,38,"NapQueen 1.5'' Swirl Gel Mattress Topper, Twin-XL",Swirl Egg Shell,Mattress Topper,Twin XL,1.5 Inch,0,0
21-08-2024,B0BDRWGMJY,,2024-08-21,0,0,0,0,0,1,84,"NapQueen 5"" Rainbow White Mattress for Kids, Twin",Kids Mattress,Mattress,Twin,5 Inch,0,0
15-08-2024,B0B31S8KPF,,2024-08-15,0,0,0,0,0,1,399,"NapQueen 14"" Bamboo Charcoal Mattress, King",Bamboo Charcoal Mattress,Mattress,King,14 Inch,0,0
30-08-2024,B0BNL1QKLV,,2024-08-30,0,0,0,0,0,1,48,"NapQueen 1.5'' 5-Zone Mattress Topper, Twin-XL",5-Zone gel,Mattress Topper,Twin XL,1.5 Inch,0,0
22-08-2024,B0CQVL6NXT,,2024-08-22,0,0,0,0,0,1,100,"NapQueen Zeta Bed Frame, Full",Zeta,Bed Frame,Full,16 Inch,0,0
20-08-2024,B0BNKY8RQN,,2024-08-20,0,0,0,0,0,1,61,"NapQueen 2'' Swirl Gel Mattress Topper, Queen",Swirl Egg Shell,Mattress Topper,Queen,2 Inch,0,0
23-08-2024,B0BNL5LTYH,,2024-08-23,0,0,0,0,0,1,59,"NapQueen 2'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,2 Inch,0,0
30-08-2024,B0B31SM3ZR,,2024-08-30,0,0,0,0,0,1,296,"NapQueen 14"" Bamboo Charcoal Mattress, Queen",Bamboo Charcoal Mattress,Mattress,Queen,14 Inch,0,0
12-09-2024,B09X1JTK49,,2024-09-12,0,0,0,0,0,1,159,"NapQueen Elizabeth 6"" Gel Memory Foam Mattress, Queen",Elizabeth,Mattress,Queen,6 Inch,0,0
20-08-2024,B0BNL1QKLV,,2024-08-20,0,0,0,0,0,1,48,"NapQueen 1.5'' 5-Zone Mattress Topper, Twin-XL",5-Zone gel,Mattress Topper,Twin XL,1.5 Inch,0,0
28-08-2024,B0BRCXSTKW,,2024-08-28,0,0,0,0,0,1,287,"NapQueen Anula Green Tea 10'', King",Anula,Mattress,King,10 Inch,0,0
28-08-2024,B09KDR64LT,,2024-08-28,0,0,0,0,0,1,169,"NapQueen Elizabeth 10"" Gel Memory Foam Mattress, Twin",Elizabeth,Mattress,Twin,10 Inch,0,0
20-08-2024,B0B31T1XMH,,2024-08-20,0,0,0,0,0,1,449,"NapQueen 14"" Bamboo Charcoal Mattress, Full",Bamboo Charcoal Mattress,Mattress,Full,14 Inch,0,0
19-08-2024,B09KDN7PYR,,2024-08-19,0,0,0,0,0,1,219,"NapQueen Elizabeth 8"" Gel Memory Foam Mattress, Queen",Elizabeth,Mattress,Queen,8 Inch,0,0
03-09-2024,B0BDRQWBK9,,2024-09-03,0,0,0,0,0,1,84,"NapQueen 5"" Rainbow Blue Mattress for Kids, Twin",Kids Mattress,Mattress,Twin,5 Inch,0,0
19-08-2024,B0BNL3YY1C,,2024-08-19,0,0,0,0,0,1,50,"NapQueen 2'' Green Tea Mattress Topper, Full",Green Tea,Mattress Topper,Full,2 Inch,0,0
19-08-2024,B0BNL53HF3,,2024-08-19,0,0,0,0,0,1,59,"NapQueen 1.5'' Green Tea Mattress Topper, Queen",Green Tea,Mattress Topper,Queen,1.5 Inch,0,0
10-09-2024,B0BGDXV7FD,,2024-09-10,0,0,0,0,0,1,168,"NapQueen 8"" Maxima Hybrid Mattress, Queen, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Queen,8 Inch,0,0
04-09-2024,B0BRCXSTKW,,2024-09-04,0,0,0,0,0,1,368,"NapQueen Anula Green Tea 10'', King",Anula,Mattress,King,10 Inch,0,0
07-09-2024,B0BNL4NX61,,2024-09-07,0,0,0,0,0,1,35,"NapQueen 1.5'' Green Tea Mattress Topper, Twin",Green Tea,Mattress Topper,Twin,1.5 Inch,0,0
16-08-2024,B0BGDZLDX2,,2024-08-16,0,0,0,0,0,1,120,"NapQueen 8"" Maxima Hybrid Mattress, Twin-XL, Cooling Gel Infused Memory Foam and Innerspring Mattress",Maxima,Mattress,Twin XL,8 Inch,0,0
17-08-2024,B0BNL4NX61,,2024-08-17,0,0,0,0,0,1,35,"NapQueen 1.5'' Green Tea Mattress Topper, Twin",Green Tea,Mattress Topper,Twin,1.5 Inch,0,0
06-09-2024,B0BRCXJ1F6,,2024-09-06,0,0,0,0,0,1,199,"NapQueen Anula Green Tea 6'', King",Anula,Mattress,King,6 Inch,0,0
